id ,name,start_location,end_location,distance_mt,date,public_transport_fare,ride_duration,ride_duration_minutes
15559862446,Commute 26.1 - from Nes,"Nes 49, 1012 KD Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",8713.2,2025-08-23T15:13:23Z,€2.98,1991,33.18
15588009237,Commute 27,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Nes 49, 1012 KD Amsterdam, Netherlands",8318,2025-08-26T03:52:03Z,€2.98,1973,32.88
15592809927,Commute 27.1,"Nes 57A, 1012 GL Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",8533.3,2025-08-26T13:32:18Z,€2.98,2027,33.78
15601873944,Commute 28 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",8176.1,2025-08-27T08:07:44Z,€2.98,1735,28.92
15607447240,Commute 28.1 - from Nes,"Rokin, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",8361.6,2025-08-27T17:14:48Z,€2.98,1871,31.18
15612986531,Commute 29 - to Nes,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Rokin 19, 1012 KK Amsterdam, Netherlands",8179,2025-08-28T06:55:50Z,€2.98,1780,29.67
15645531223,Commute 30 - to Nes,"Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands","Amsterdam, Rokin, 1012 Amsterdam, Netherlands",8122.6,2025-08-31T08:41:48Z,€2.98,1808,30.13
15652642187,Commute 30.1 - from Nes,"Rokin 19, 1012 KK Amsterdam, Netherlands","Emmeline Pankhurststraat 9, 1103 MN Amsterdam, Netherlands",8432.3,2025-08-31T18:18:13Z,€2.98,2072,34.53
15656212296,Commute 31 - to Opsterpark,"Emmeline Pankhurststraat 4, 1103 MN Amsterdam, Netherlands","Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands",6515.7,2025-09-01T07:00:36Z,€2.80,1539,25.65
15660014872,Commute 31.1,"Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",6212.9,2025-09-01T14:55:10Z,€2.80,1422,23.70
15683933888,Not a commute - to Agus',"Harriët Freezerstraat 88, 1103 JN Amsterdam, Netherlands","s111 1c, 1097 DN Amsterdam, Netherlands",6318.4,2025-09-03T14:49:32Z,€17.16,1540,25.67
15688142091,Not a commute - from Agus' penthouse,"!PARK INDOOR! Amstelstation, 1097 DN Amsterdam, Netherlands","Emmeline Pankhurststraat 9, 1103 MN Amsterdam, Netherlands",4781.9,2025-09-03T21:37:35Z,€2.34,1458,24.30
15691457755,Commute - to Oost,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands",6282.8,2025-09-04T07:04:44Z,€2.77,1395,23.25
15696437963,Commute - from Oost,"Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",6231.1,2025-09-04T16:07:59Z,€2.70,1447,24.12
15706178271,Commute 34 - to Oost,"Emmeline Pankhurststraat 45, 1103 MT Amsterdam, Netherlands","Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands",6347,2025-09-05T12:04:43Z,€2.70,1456,24.27
15709909419,Commute 34.1 - from Oost,"Wagenaarstraat 9, 1093 ED Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",6273.7,2025-09-05T21:00:16Z,€2.70,1425,23.75
15716554977,Commute 35 - to Oost,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands",6275.1,2025-09-06T12:05:05Z,€2.70,1544,25.73
15722146899,Commute 35.1 - from Oost,"1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 25, 1103 MN Amsterdam, Netherlands",6267.7,2025-09-06T21:22:07Z,€2.70,1490,24.83
15728613240,Commute 36 - to Oost,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands",6280.1,2025-09-07T11:53:08Z,€2.70,1424,23.73
15734240721,Commute 36.1,"1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",6198.4,2025-09-07T20:55:49Z,€2.70,1417,23.62
15740309576,Commute 36 - to Oosterpark,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands",6274.5,2025-09-08T11:58:34Z,€2.83,1530,25.50
15745390370,Commute 36.1 - from Oosterpark,"1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands",6203.3,2025-09-08T22:08:31Z,€2.83,1494,24.90
15763578499,Commute 37 - to Oosterpark,"Emmeline Pankhurststraat 20, 1103 MN Amsterdam, Netherlands","1e v.Swindenstraat, 1092 CK Amsterdam, Netherlands",6287.1,2025-09-10T12:02:51Z,€2.83,1493,24.88
15768848086,Commute 37.1 - from Oosterpark,"Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 21, 1103 MN Amsterdam, Netherlands",6223,2025-09-10T21:27:02Z,€2.70,1409,23.48
15775020131,Commute 38 - to Oosterpark,"Emmeline Pankhurststraat 13, 1103 MN Amsterdam, Netherlands","Linnaeusstraat 2E, 1092 CK Amsterdam, Netherlands",6211.8,2025-09-11T12:16:39Z,€15.86,1435,23.92
15779896448,Commute 38.1 - from Oosterpark,"Linnaeusstraat 2C, 1092 CK Amsterdam, Netherlands","Emmeline Pankhurststraat 24, 1103 MN Amsterdam, Netherlands",6243.2,2025-09-11T21:14:30Z,€2.70,1527,25.45
